HM045811	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
HM045792	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
HM045821	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
HM045786	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
HM045807	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
HM045798	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
HM045785	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
HM045816	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
KY038946	Tricou,V., Desdouits,M., Nakoune,E., Kazanji,M. and Berthet,N.

KF925286	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KF925301	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

KF925287	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KF925302	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

KF925304	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

KF925289	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KF925303	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

KF925288	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KF925297	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KF925312	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

HM045822	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
HM045815	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
KF925292	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KF925307	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

KF925291	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KF925306	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

KF925305	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

KF925290	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

HM045818	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
HM045812	Volk,S.M., Chen,R., Tsetsarkin,K.A., Adams,A.P., Garcia,T.I., Sall,A.A., Nasar,F., Schuh,A.J., Holmes,E.C., Higgs,S., Maharaj,P.D., Brault,A.C. and Weaver,S.C.
KF925310	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

KF925295	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KX262986	Das,S.R., Shabman,R., Halpin,R.A., Shilts,M., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Weaver,S.C.
MK028837	Morrison,T., Hawman,D., Powers,A., Agnihothram,S., Zhao,X., Nagaraj,S., Vavikolanu,K., Nadendla,S., Sadzewicz,L., Tallon,L.J.
KX262995	Das,S.R., Shabman,R., Halpin,R.A., Shilts,M., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Weaver,S.C.
KY038947	Tricou,V., Desdouits,M., Nakoune,E., Kazanji,M. and Berthet,N.

KF925296	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KF925311	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

KF925308	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

KF925293	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KF925298	Desdouits,M., Kamgang,B., Nakoune,E., Berthet,N. and Kazanji,M.

KF925313	Desdouits,M., Kamgang,B., Berthet,N., Nakoune,E. and Kazanji,M.

