EU003591	Vasilakis,N., Tesh,R.B. and Weaver,S.C.
MH456894	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MH456896	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MH456898	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MT076932	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MT076933	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
MH456895	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MH456900	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MZ857207	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
MH456897	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MH456892	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MT981492	Fourie,T.B., Grard,G. and Leparc-Goffart,I.

MT981491	Fourie,T.B., Grard,G. and Leparc-Goffart,I.

MT981494	Fourie,T.B., Grard,G. and Leparc-Goffart,I.

MT981511	Fourie,T.B., Dubot-Peres,A., Grard,G. and Leparc-Goffart,I.

MT981512	Fourie,T.B., Dubot-Peres,A., Grard,G. and Leparc-Goffart,I.

MT981513	Fourie,T.B., Grard,G. and Leparc-Goffart,I.

MT981514	Fourie,T.B., Dubot-Peres,A., Grard,G. and Leparc-Goffart,I.

MH456893	Kamau,E., Agoti,C.N., Ngoi,J.M., Gitonga,J., Cotten,M., Delwart,E., Sanders,E. and Warimwe,G.
MT076937	Shah,M.M., Huang,C.N., Sahoo,M.K., Edgerton,S., Bennett,S.N., Pinsky,B.A. and LaBeaud,A.D.
