EU003591	Vasilakis,N., Tesh,R.B. and Weaver,S.C.
MW481683	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481681	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481682	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481680	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481672	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481691	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481687	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481689	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481694	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481693	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MT125053	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481692	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481671	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MT125054	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW288024	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288025	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288026	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288027	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288028	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288029	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288030	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MK045280	Ayolabi,C.I. and Olusola,B.A.

MK045281	Ayolabi,C.I. and Olusola,B.A.

MK045282	Ayolabi,C.I. and Olusola,B.A.

MK045283	Ayolabi,C.I. and Olusola,B.A.

MK045284	Ayolabi,C.I. and Olusola,B.A.

MK045285	Ayolabi,C.I. and Olusola,B.A.

MK045286	Ayolabi,C.I. and Olusola,B.A.

MT981011	Fourie,T.B., Grard,G., Dubot-Peres,A., Piorkowski,G. and Leparc-Goffart,I.
ON231304	Dieng,I.

ON231306	Dieng,I.

ON231307	Dieng,I.

ON231308	Dieng,I.

ON231309	Dieng,I.

ON231310	Dieng,I.

MW288031	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288032	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288033	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288034	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288035	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288036	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288037	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288038	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288039	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
MW288040	Gaye,A., Ndiaye,T., Sy,M., Deme,A.B., Thiaw,A., Sene,A., Ndiaye,C., Diedhiou,Y., Mbaye,A.M., Ndiaye,I., Tomkins-Tinch,C., Gomis,J., Badiane,A.S., MacInnis,B.L., Park,D.J., Ndiaye,M., Sy,N., Sabeti,P.C., Siddle,K.J. and Ndiaye,D.
ON231312	Dieng,I.

ON231311	Dieng,I.

ON231313	Dieng,I.

MT981085	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MT981148	Fourie,T.B., Grard,G., Dubot-Peres,A., Piorkowski,G. and Leparc-Goffart,I.
MW332260	Saidu,Z.J.

MW332572	Saidu,Z.J., Oghafona,N.O., Okojie,R.O. and Tatfeng,Y.M.

MW481670	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MN600714	Fourie,T.B., Luciani,L. and Nougairede,A.

MT835384	Mwanyika,G.O., Mboera,L.E., Rugarabamu,S., Sindato,C., Lutwama,J., Paweska,J. and Misinzo,G.
MT835385	Mwanyika,G.O., Mboera,L.E., Rugarabamu,S., Sindato,C., Lutwama,J., Paweska,J. and Misinzo,G.
MT835386	Mwanyika,G.O., Mboera,L.E., Rugarabamu,S., Sindato,C., Lutwama,J., Paweska,J. and Misinzo,G.
MZ544494	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544495	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544496	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544497	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544498	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544499	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544500	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544501	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544502	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544503	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544504	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544505	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544506	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544507	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B.K., Kituyi,S.N. and Waitumbi,J.N.
MZ544585	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B., Kituyi,S.N. and Waitumbi,J.N.
MZ544586	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B., Kituyi,S.N. and Waitumbi,J.N.
MZ544587	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B., Kituyi,S.N. and Waitumbi,J.N.
MZ544588	Kimita,G., Muthanje,E.M., Nyataya,J.N., Njue,W., Mulili,C., Mugweru,J., Mutai,B., Kituyi,S.N. and Waitumbi,J.N.
MW243051	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
ON907580	Su,W., Cao,Y. and Lu,W.

ON908223	Su,W., Cao,Y. and Lu,W.

ON885286	Su,W., Cao,Y. and Lu,W.

MW243052	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MT982918	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MW243053	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MW341537	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MW341538	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MW341539	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MW341540	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MW341541	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MW341542	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MW341543	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MW341544	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MW341545	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MW341546	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MW341547	Saidu,J.Z., Eghafona,N.O., Tatfeng,M.Y., Ophori,E.A. and Okojie,R.O.
MT982126	Fourie,T.B., Grard,G., Dubot-Peres,A., Piorkowski,G. and Leparc-Goffart,I.
MT982148	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MW243062	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MT012480	Onoja,A.B.

MT582502	Onoja,A.B.

MT583832	Onoja,A.B.

MT012479	Aradaib,I.E. and Eldigail,M.

ON908232	Su,W., Cao,Y. and Lu,W.

ON890788	Su,W., Cao,Y. and Lu,W.

MW133786	Machelle,I.S.

OM317565	Key,A., Waggoner,J., Ali,I.M., Piantadosi,A.L. and Collins,M.

MW979757	Simo Tchetgna,H.D., Sado Yousseu,F., Tedjou,A., Kamgang,B., McCALL,P.J. and Wondji,C.S.
MW979758	Simo Tchetgna,H.D., Sado Yousseu,F., Tedjou,A., Kamgang,B., McCALL,P.J. and Wondji,C.S.
MW979761	Simo Tchetgna,H.D., Sado Yousseu,F., Tedjou,A., Kamgang,B., McCALL,P.J. and Wondji,C.S.
MW979763	Simo Tchetgna,H.D., Sado Yousseu,F., Tedjou,A., Kamgang,B., McCALL,P.J. and Wondji,C.S.
MW979759	Simo Tchetgna,H.D., Sado Yousseu,F., Tedjou,A., Kamgang,B., McCALL,P.J. and Wondji,C.S.
OM317566	Key,A., Waggoner,J., Ali,I.M., Piantadosi,A.L. and Collins,M.

MW979765	Simo Tchetgna,H.D., Sado Yousseu,F., Tedjou,A., Kamgang,B., McCALL,P.J. and Wondji,C.S.
MW979760	Simo Tchetgna,H.D., Sado Yousseu,F., Tedjou,A., Kamgang,B., McCALL,P.J. and Wondji,C.S.
MW979764	Simo Tchetgna,H.D., Sado Yousseu,F., Tedjou,A., Kamgang,B., McCALL,P.J. and Wondji,C.S.
MW979762	Simo Tchetgna,H.D., Sado Yousseu,F., Tedjou,A., Kamgang,B., McCALL,P.J. and Wondji,C.S.
LC702703	Tizhe,D.T.

LC707378	Ushijima,Y., Abe,H., Mbadinga,M.J.V.M., Nguema-Ondo,G., Bikangui,R., Agnandji,S.T., Lell,B. and Yasuda,J.
LC707382	Ushijima,Y., Abe,H., Mbadinga,M.J.V.M., Nguema-Ondo,G., Bikangui,R., Agnandji,S.T., Lell,B. and Yasuda,J.
ON377332	Tchibozo,C., Hounkanrin,G., Bialonski,A., Schmidt-Chanasit,J., Joest,H. and Yadouleton,A.
AF298808	Tolou,H., Couissinier-Paris,P.F., Mercier,V., Charrel,R., De

AF426120	Goncalvez,A.P., Escalante,A.A., Pujol,F.H., Ludert,J.E., Tovar,D., Salas,R. and Liprandi,F.
DQ016643	Domingo,C., Palacios,G. and Tenorio,A.

AF425620	Goncalvez,A.P., Escalante,A.A., Pujol,F.H., Ludert,J.E., Tovar,D., Salas,R. and Liprandi,F.
AF426111	Goncalvez,A.P., Escalante,A.A., Pujol,F.H., Ludert,J.E., Tovar,D., Salas,R. and Liprandi,F.
AF410375	Twiddy,S.S., Farrar,J.J., Vinh Chau,N., Wills,B., Gould,E.A., Lloyd,G. and Holmes,E.C.
AF425610	Goncalvez,A.P., Escalante,A.A., Pujol,F.H., Ludert,J.E., Tovar,D., Salas,R. and Liprandi,F.
EU073983	Moureau,G., Temmam,S., Charrel,R., Grard,G. and de Lamballerie,X.

AY665402	Messer,W. and de Silva,A.

DQ016641	Domingo,C., Palacios,G. and Tenorio,A.

AF426124	Goncalvez,A.P., Escalante,A.A., Pujol,F.H., Ludert,J.E., Tovar,D., Salas,R. and Liprandi,F.
DQ016638	Domingo,C., Palacios,G. and Tenorio,A.

AF425625	Goncalvez,A.P., Escalante,A.A., Pujol,F.H., Ludert,J.E., Tovar,D., Salas,R. and Liprandi,F.
EU073979	Moureau,G., Temmam,S., Charrel,R., Grard,G. and de Lamballerie,X.

KT716076	Ole Kwallah,A., Inoue,S., Morita,K. and Mwau,M.

KT716077	Ole Kwallah,A., Inoue,S., Morita,K. and Mwau,M.

KT716078	Ole Kwallah,A., Inoue,S., Morita,K. and Mwau,M.

MF574722	Hamid,Z.A.A., Elaagip,A.H., Alsedig,K.A.D., Hamdan,T.H.A., Abdallah,T.M. and Abdel Hamid,M.M.
MF574723	Hamid,Z.A.A., Elaagip,A.H., Alsedig,K.A.D., Hamdan,T.H.A., Abdallah,T.M. and Abdel Hamid,M.M.
MF574724	Hamid,Z.A.A., Elaagip,A.H., Alsedig,K.A.D., Hamdan,T.H.A., Abdallah,T.M. and Abdel Hamid,M.M.
MF574725	Hamid,Z.A.A., Elaagip,A.H., Alsedig,K.A.D., Hamdan,T.H.A., Abdallah,T.M. and Abdel Hamid,M.M.
LC206003	Maeki,T., Tajima,S., Hashimoto,T. and Kutsuna,S.

MG727535	Hilali,F., Anfasa,F., Bajjou,T., Touil,N., Laraqui,A., Reggad,A., Ennibi,K., Koopmans,M.P.G., Martina,B.E.E. and Sekhsokh,Y.
KF907503	Aubry,F., Querat,G. and Tesh,R.B.

EF105387	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
EF105388	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
EF105384	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
MW946564	Salje,H., Lessler,J., Berry,I., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Macareo,L., Yoon,I.-K., Sangarsang,A., Jarman,R.
EF105385	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
EF105382	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
EF105386	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
EF105380	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
EF105381	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
EF105383	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
DQ917247	Vasilakis,N., Shell,E.J., Fokam,E.B., Mason,P.W., Hanley,K.A., Estes,D.M. and Weaver,S.C.
DQ917246	Vasilakis,N., Shell,E.J., Fokam,E.B., Mason,P.W., Hanley,K.A., Estes,D.M. and Weaver,S.C.
DQ917244	Vasilakis,N., Shell,E.J., Fokam,E.B., Mason,P.W., Hanley,K.A., Estes,D.M. and Weaver,S.C.
DQ917245	Vasilakis,N., Shell,E.J., Fokam,E.B., Mason,P.W., Hanley,K.A., Estes,D.M. and Weaver,S.C.
EF105378	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
MF004387	Baronti,C., Piorkowski,G., Touret,F., Gilles,M., Pastorino,B., Querat,G., Placidi,C., Priet,S. and de Lamballerie,X.
EU056810	Vasilakis,N., Fokam,E.B. and Weaver,S.C.

OK605769	Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W. and Ploss,A.
FJ882575	Henn,M.R., Schmidt,D., Young,S., Koehrsen,M., Jaffe,D., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Comach,G., De Bosch,N., Rothman,A., Gubler,D., Nusbaum,C., Bosch,I. and Birren,B.
GU131843	Henn,M.R., McElroy,K.L., Santiago,G., Young,S., Koehrsen,M., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Rico-Hesse,R., Digoutte,J.P., Nusbaum,C., Munoz-Jordan,J. and Birren,B.
HM234642	Sukupolvi-Petty,S., Johnson,S., Rico-Hesse,R., Harris,E., Pierson,T.C., Fremont,D.H., Diamond,M.S., Austin,S.Kyle., Engle,M., Brien,J.D., Dowd,K. and Williams,K.L.
OL452067	Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W. and Ploss,A.
OK605757	Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W. and Ploss,A.
DQ285562	Schuffenecker,I., Murri,S., Reynard,S. and Zeller,H.G.

OK605766	Tamura,T., Zhang,J., Madan,V., Biswas,A., Schwoerer,M.P., Cafiero,T.R., Heller,B.L., Wang,W. and Ploss,A.
MZ857219	Alfsnes,K., Eldholm,V., Gaunt,M., de Lamballerie,X., Gould,E. and Pettersson,J.H.
EF457904	Vasilakis,N., Holmes,E.C., Fokam,E.B., Faye,O., Diallo,M., Sall,A.A. and Weaver,S.C.
EF105390	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
EF105389	Vasilakis,N., Holmes,E.C., Fokam,E.B., Diallo,M., Sall,A.A., Weaver,S.C. and Vasilakis,N.
FJ502917	Domingo,C.

DQ285561	Schuffenecker,I., Murri,S., Reynard,S. and Zeller,H.G.

FJ502873	Domingo,C.

DQ285557	Schuffenecker,I., Murri,S., Reynard,S. and Zeller,H.G.

FJ502874	Domingo,C.

FJ502918	Domingo,C.

